Name,Succ,Fail,SendRate(TPS),MaxLatency(s),MinLatency(s),AvgLatency(s),Throughput(TPS)
addInfo06,1081,0,180.2,8.59,2.58,5.84,90.9
addInfo07,1081,0,180.2,8.67,2.52,5.84,91.0
addInfo08,1082,0,180.2,8.65,2.38,5.76,91.6
addInfo09,1081,0,180.2,8.60,2.54,5.85,90.9
addInfo10,1082,0,180.2,8.57,2.44,5.75,92.0
addInfo01,1200,0,200.3,10.18,4.09,7.00,91.7
addInfo02,1201,0,200.2,7.89,2.19,5.27,105.7
addInfo03,1194,0,198.8,7.87,2.25,5.48,103.7
addInfo04,1202,0,200.2,8.43,2.48,5.80,101.4
addInfo05,1202,0,200.2,8.35,2.48,5.81,101.6
addInfo06,1201,0,200.2,8.40,2.39,5.79,101.4
addInfo07,1201,0,200.2,8.54,2.38,5.78,101.6
addInfo08,1201,0,200.2,8.57,2.39,5.78,101.5
addInfo09,1198,0,199.7,8.58,2.33,5.76,101.6
addInfo10,1201,0,200.2,8.67,2.38,5.81,102.3
