Name,Succ,Fail,SendRate(TPS),MaxLatency(s),MinLatency(s),AvgLatency(s),Throughput(TPS)
addInfo01,61,0,10.1,6.98,2.10,4.84,5.2
addInfo02,61,0,10.2,6.95,2.06,4.85,5.1
addInfo03,61,0,10.2,6.96,2.06,4.87,5.1
addInfo04,61,0,10.2,6.99,2.09,4.88,5.1
addInfo05,61,0,10.2,7.01,2.12,4.91,5.1
addInfo06,61,0,10.2,7.01,2.10,4.90,5.1
addInfo07,61,0,10.2,6.96,2.05,4.85,5.1
addInfo08,61,0,10.2,6.96,2.06,4.86,5.1
addInfo09,61,0,10.2,6.97,2.07,4.87,5.1
addInfo10,61,0,10.2,6.98,2.08,4.88,5.1
addInfo01,121,0,20.2,7.01,2.10,4.88,10.3
addInfo02,121,0,20.2,7.00,2.13,4.90,10.2
addInfo03,121,0,20.2,6.99,2.07,4.89,10.1
addInfo04,121,0,20.2,7.00,2.12,4.88,10.2
addInfo05,121,0,20.2,6.98,2.05,4.87,10.1
addInfo06,121,0,20.2,6.97,2.05,4.85,10.2
addInfo07,121,0,20.2,6.98,2.07,4.87,10.1
addInfo08,121,0,20.2,7.00,2.09,4.87,10.2
addInfo09,121,0,20.2,7.01,2.09,4.90,10.2
addInfo10,121,0,20.2,7.01,2.07,4.90,10.2
addInfo01,241,0,40.2,7.01,2.12,4.87,20.7
addInfo02,241,0,40.2,7.06,2.13,4.94,20.1
addInfo03,241,0,40.2,7.01,2.07,4.90,20.2
addInfo04,241,0,40.2,7.04,2.07,4.90,20.2
addInfo05,241,0,40.2,7.02,2.10,4.90,20.3
addInfo06,241,0,40.2,7.01,2.09,4.91,20.2
addInfo07,241,0,40.2,7.01,2.10,4.91,20.4
addInfo08,241,0,40.2,7.00,2.07,4.89,20.3
addInfo09,241,0,40.2,7.02,2.11,4.90,20.3
addInfo10,241,0,40.2,7.01,2.10,4.91,20.3
addInfo01,361,0,60.2,7.02,2.17,4.94,30.8
addInfo02,361,0,60.2,7.23,2.19,5.00,30.1
addInfo03,361,0,60.2,7.15,2.10,4.96,30.4
addInfo04,361,0,60.2,7.06,2.12,4.97,30.3
addInfo05,361,0,60.2,7.15,2.09,4.96,30.2
addInfo06,361,0,60.2,7.02,2.10,4.95,30.5
addInfo07,361,0,60.2,7.08,2.11,4.95,30.5
addInfo08,361,0,60.2,7.01,2.13,4.95,30.5
addInfo09,361,0,60.2,7.04,2.15,4.95,30.5
addInfo10,361,0,60.2,7.09,2.18,4.96,30.4
addInfo01,481,0,80.2,7.10,2.19,5.01,41.1
addInfo02,481,0,80.2,7.32,2.16,5.07,40.5
addInfo03,481,0,80.2,7.29,2.12,5.06,40.5
addInfo04,481,0,80.2,7.40,2.18,5.05,40.4
addInfo05,481,0,80.2,7.42,2.23,5.09,40.3
addInfo06,481,0,80.2,7.17,2.11,5.05,40.6
addInfo07,481,0,80.2,7.36,2.16,5.07,40.3
addInfo08,481,0,80.2,7.21,2.17,5.02,40.8
addInfo09,481,0,80.2,7.23,2.13,5.04,40.5
addInfo10,481,0,80.2,7.36,2.12,5.06,40.5
addInfo01,601,0,100.2,7.67,2.73,5.45,51.0
addInfo02,601,0,100.2,7.38,2.19,5.15,51.0
addInfo03,601,0,100.2,7.39,2.24,5.16,50.8
addInfo04,601,0,100.2,7.34,2.19,5.13,51.3
addInfo05,601,0,100.2,7.60,2.15,5.18,50.5
addInfo06,601,0,100.2,7.51,2.20,5.17,50.6
addInfo07,601,0,100.2,7.57,2.14,5.18,50.3
addInfo08,601,0,100.2,7.46,2.14,5.15,51.0
addInfo09,601,0,100.2,7.59,2.21,5.17,50.6
addInfo10,601,0,100.2,7.64,2.17,5.17,50.5
addInfo01,601,0,100.2,7.67,2.73,5.45,51.0
addInfo02,601,0,100.2,7.38,2.19,5.15,51.0
addInfo03,601,0,100.2,7.39,2.24,5.16,50.8
addInfo04,601,0,100.2,7.34,2.19,5.13,51.3
addInfo05,601,0,100.2,7.60,2.15,5.18,50.5
addInfo06,601,0,100.2,7.51,2.20,5.17,50.6
addInfo07,601,0,100.2,7.57,2.14,5.18,50.3
addInfo08,601,0,100.2,7.46,2.14,5.15,51.0
addInfo09,601,0,100.2,7.59,2.21,5.17,50.6
addInfo10,601,0,100.2,7.64,2.17,5.17,50.5
addInfo01,841,0,140.3,8.84,3.59,6.27,69.4
addInfo02,841,0,140.2,7.53,2.19,5.27,72.8
addInfo03,841,0,140.2,8.08,2.18,5.43,71.0
addInfo04,841,0,140.2,7.96,2.21,5.43,71.0
addInfo05,841,0,140.2,8.15,2.19,5.43,70.9
addInfo06,841,0,140.2,7.97,2.27,5.41,71.3
addInfo07,841,0,140.2,8.21,2.20,5.48,70.6
addInfo08,841,0,140.2,8.01,2.23,5.40,71.5
addInfo09,841,0,140.2,8.20,2.17,5.44,71.3
addInfo10,842,0,140.2,8.20,2.29,5.49,70.7
addInfo01,961,0,160.3,9.32,3.88,6.57,77.1
addInfo02,961,0,160.2,7.43,2.19,5.29,83.7
addInfo03,961,0,160.2,7.94,2.25,5.49,82.3
addInfo04,961,0,160.2,8.47,2.35,5.64,81.2
addInfo05,961,0,160.2,8.49,2.24,5.61,81.4
addInfo06,961,0,160.2,8.49,2.48,5.72,80.6
addInfo07,962,0,160.2,8.52,2.23,5.59,81.4
addInfo08,961,0,160.2,8.55,2.28,5.69,80.8
addInfo09,962,0,160.2,8.55,2.23,5.68,81.0
addInfo10,962,0,160.2,8.62,2.20,5.61,81.4
addInfo01,1081,0,180.3,9.79,4.00,6.83,84.3
addInfo02,1081,0,180.3,7.60,2.22,5.27,95.3
addInfo03,1081,0,180.2,8.07,2.16,5.49,93.9
addInfo04,1081,0,180.2,8.57,2.53,5.85,90.8
addInfo05,1081,0,180.2,8.60,2.63,5.85,90.9
