Name,Succ,Fail,SendRate(TPS),MaxLatency(s),MinLatency(s),AvgLatency(s),Throughput(TPS)
addInfo01,61,0,10.2,6.92,2.04,4.82,5.2
addInfo02,61,0,10.2,6.97,2.05,4.80,5.1
addInfo03,61,0,10.2,7.03,2.13,4.93,5.1
addInfo04,61,0,10.2,6.98,2.08,4.88,5.1
addInfo05,61,0,10.2,6.93,2.02,4.77,5.1
addInfo06,61,0,10.2,7.00,2.07,4.83,5.1
addInfo07,61,0,10.2,6.96,2.04,4.80,5.1
addInfo08,61,0,10.2,7.01,2.12,4.91,5.1
addInfo09,61,0,10.2,6.98,2.06,4.81,5.1
addInfo10,61,0,10.2,6.93,2.02,4.77,5.1
addInfo01,121,0,20.2,6.98,2.08,4.86,10.2
addInfo02,121,0,20.2,7.04,2.11,4.91,10.1
addInfo03,121,0,20.2,7.03,2.05,4.86,10.1
addInfo04,121,0,20.2,7.03,2.08,4.90,10.1
addInfo05,121,0,20.2,7.01,2.02,4.80,10.0
addInfo06,121,0,20.2,7.05,2.04,4.87,10.0
addInfo07,121,0,20.2,6.99,2.02,4.82,10.1
addInfo08,121,0,20.2,7.01,2.04,4.82,10.0
addInfo09,121,0,20.2,7.04,2.07,4.87,10.0
addInfo10,121,0,20.2,7.04,2.04,4.85,10.1
addInfo01,241,0,40.2,7.01,2.15,4.90,20.3
addInfo02,241,0,40.2,7.09,2.12,4.94,20.1
addInfo03,241,0,40.2,7.05,2.04,4.88,20.0
addInfo04,241,0,40.2,7.11,2.04,4.90,20.0
addInfo05,241,0,40.2,7.05,2.14,4.92,20.1
addInfo06,241,0,40.2,7.09,2.05,4.89,20.0
addInfo07,241,0,40.2,7.12,2.04,4.91,20.0
addInfo08,241,0,40.2,7.12,2.11,4.93,20.1
addInfo09,241,0,40.2,7.12,2.04,4.87,19.9
addInfo10,241,0,40.2,7.07,2.05,4.88,20.0
addInfo01,361,0,60.2,7.05,2.15,4.96,30.5
addInfo02,361,0,60.2,7.23,2.15,5.00,30.1
addInfo03,361,0,60.2,7.28,2.05,4.98,29.9
addInfo04,361,0,60.2,7.11,2.15,4.97,30.2
addInfo05,361,0,60.2,7.18,2.20,4.96,30.3
addInfo06,361,0,60.2,7.12,2.12,4.97,30.1
addInfo07,361,0,60.2,7.14,2.10,4.97,30.1
addInfo08,361,0,60.2,7.12,2.11,4.97,30.2
addInfo09,361,0,60.2,7.10,2.13,4.97,30.2
addInfo10,361,0,60.2,7.13,2.16,4.97,30.3
addInfo01,481,0,80.2,7.19,2.26,5.07,41.1
addInfo02,481,0,80.2,7.43,2.22,5.08,40.0
addInfo03,481,0,80.2,7.36,2.19,5.06,40.2
addInfo04,481,0,80.2,7.36,2.18,5.07,40.3
addInfo05,481,0,80.2,7.28,2.20,5.05,40.4
addInfo06,481,0,80.2,7.29,2.11,5.07,40.1
addInfo07,481,0,80.2,7.32,2.10,5.06,40.3
