Name,Succ,Fail,SendRate(TPS),MaxLatency(s),MinLatency(s),AvgLatency(s),Throughput(TPS)
addInfo08,481,0,80.2,7.26,2.10,5.04,40.4
addInfo09,481,0,80.2,7.45,2.13,5.07,40.1
addInfo10,481,0,80.2,7.34,2.09,5.06,40.2
addInfo01,601,0,100.3,7.30,2.24,5.08,51.3
addInfo02,601,0,100.2,7.49,2.15,5.13,50.7
addInfo03,601,0,100.2,7.49,2.14,5.15,50.4
addInfo04,601,0,100.2,7.31,2.15,5.11,51.0
addInfo05,601,0,100.2,7.50,2.16,5.21,50.4
addInfo06,601,0,100.2,7.46,2.17,5.13,50.6
addInfo07,601,0,100.2,7.47,2.17,5.16,50.3
addInfo08,601,0,100.2,7.48,2.16,5.15,50.5
addInfo09,601,0,100.2,7.62,2.14,5.17,50.3
addInfo10,601,0,100.2,7.49,2.10,5.15,50.4
addInfo01,721,0,120.2,7.43,2.27,5.21,61.3
addInfo02,721,0,120.2,7.59,2.15,5.24,61.0
addInfo03,721,0,120.2,7.75,2.25,5.26,60.9
addInfo04,721,0,120.2,7.60,2.23,5.25,60.8
addInfo05,721,0,120.2,7.84,2.25,5.26,60.7
addInfo06,721,0,120.2,7.79,2.13,5.27,60.5
addInfo07,721,0,120.2,7.98,2.19,5.32,60.3
addInfo08,721,0,120.2,7.70,2.23,5.26,60.7
addInfo09,721,0,120.2,7.83,2.20,5.28,60.5
addInfo10,721,0,120.2,7.82,2.21,5.27,60.6
addInfo01,841,0,140.3,7.78,2.71,5.64,70.3
addInfo02,841,0,140.2,7.72,2.26,5.37,71.5
addInfo03,841,0,140.2,8.09,2.26,5.38,71.0
addInfo04,841,0,140.2,8.10,2.22,5.42,70.6
addInfo05,841,0,140.2,8.05,2.43,5.41,71.0
addInfo06,841,0,140.2,8.11,2.16,5.40,70.7
addInfo07,841,0,140.2,7.98,2.27,5.40,70.8
addInfo08,841,0,140.2,8.13,2.23,5.40,70.8
addInfo09,841,0,140.2,8.20,2.20,5.41,70.8
addInfo10,841,0,140.2,8.20,2.25,5.41,70.8
addInfo01,961,0,160.3,8.13,3.09,5.92,80.2
addInfo02,961,0,160.2,8.11,2.24,5.45,81.8
addInfo03,961,0,160.2,8.31,2.22,5.50,81.1
addInfo04,961,0,160.2,8.19,2.24,5.49,81.4
addInfo05,961,0,160.2,8.48,2.29,5.62,80.7
addInfo06,961,0,160.2,8.15,2.37,5.51,81.1
addInfo07,961,0,160.2,7.96,2.19,5.45,82.3
addInfo08,961,0,160.2,8.53,2.24,5.61,81.3
addInfo09,961,0,160.2,8.40,2.30,5.57,81.0
addInfo10,961,0,160.2,8.22,2.20,5.54,81.2
addInfo01,1081,0,180.3,8.94,3.55,6.35,87.4
addInfo02,1081,0,180.2,7.83,2.23,5.44,93.4
addInfo03,1081,0,180.2,8.51,2.24,5.62,92.1
addInfo04,1081,0,179.9,8.73,2.30,5.71,91.2
addInfo05,1081,0,180.2,8.91,2.23,5.72,91.1
addInfo06,1081,0,180.2,8.78,2.22,5.72,90.8
addInfo07,1081,0,180.2,9.06,2.23,5.80,90.4
addInfo08,1081,0,180.2,9.01,2.33,5.78,90.7
addInfo09,1081,0,180.2,9.00,2.32,5.77,90.5
addInfo10,1081,0,180.3,8.76,2.26,5.76,90.7
addInfo01,1201,0,200.4,9.40,3.62,6.43,96.3
addInfo02,1199,0,199.8,7.59,2.28,5.37,105.0
addInfo03,1201,0,200.2,8.33,2.28,5.59,103.6
addInfo04,1201,0,200.2,8.82,2.52,5.90,101.0
addInfo05,1201,0,200.2,8.92,2.56,6.00,100.6
addInfo06,1201,0,200.2,8.68,2.48,5.85,101.4
addInfo07,1201,0,200.2,8.64,2.48,5.88,100.8
addInfo08,1201,0,200.2,8.79,2.39,5.83,101.7
addInfo09,1201,0,200.2,8.94,2.45,5.96,100.5
addInfo10,1201,0,200.2,8.81,2.50,5.88,100.6
