horario,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
13:43:46,61.0,100,4096,0,0,1671198226,0
13:44:19,55.8,100,90112,539600,673629,1671198260,1
13:44:44,61.1,100,159744,1056874,1325748,1671198285,1
13:45:09,55.4,100,237568,1572506,1970416,1671198310,1
13:45:34,55.5,100,315392,2091085,2617821,1671198335,1
13:46:00,51.5,100,389120,2613609,3266810,1671198361,1
13:46:24,51.6,100,462848,3140024,3923108,1671198385,1
13:47:14,51.6,100,618496,4180801,5220323,1671198435,1
13:47:39,63.7,100,692224,4695282,5862512,1671198460,1
13:49:24,59.7,100,1191936,8277542,10373615,1671198565,2
13:49:49,56.1,100,1327104,9291683,11645063,1671198590,2
13:50:14,65.2,100,1466368,10316089,12931438,1671198615,2
13:50:39,56.1,100,1601536,11354163,14228396,1671198640,2
13:51:04,56.1,100,1740800,12389290,15523189,1671198665,2
13:51:54,56.2,100,2019328,14452788,18103624,1671198715,2
13:52:54,53.4,100,2428928,17672502,22295425,1671198775,3
13:53:19,58.3,100,2686976,19778167,25051725,1671198800,3
13:53:44,60.7,100,2953216,21845933,27744812,1671198825,3
13:54:09,57.4,100,3219456,23887125,30381045,1671198850,3
13:54:34,55.3,100,3477504,25895488,32983032,1671198875,3
13:55:00,55.3,100,3743744,27893176,35565939,1671198901,3
13:55:49,42.5,100,4268032,31860749,40674611,1671198950,3
13:55:50,55.5,100,4268032,31862323,40675958,1671198951,3
13:56:14,46.3,100,4526080,33843085,43232260,1671198975,3
13:56:15,55.6,100,4526080,33843297,43232418,1671198976,3
13:57:14,60.7,100,5189632,39418329,50701771,1671199035,4
13:57:44,57.7,100,5578752,42810555,55191647,1671199065,4
13:58:14,58.2,100,5963776,46066761,59468561,1671199095,4
13:58:39,58.2,100,6356992,49290091,63689178,1671199120,4
13:59:04,58.2,100,6742016,52461248,67832570,1671199145,4
13:59:29,58.2,100,7131136,55587031,71924115,1671199170,4
14:00:03,35.2,100,7831552,61058602,78831420,1671199204,4
14:00:44,58.4,100,8294400,64986805,84215610,1671199245,4
14:01:49,72.6,100,9203712,73264781,95396543,1671199310,5
14:02:19,59.0,100,9715712,78015381,101769159,1671199340,5
14:02:49,60.4,100,10240000,82629187,107953738,1671199370,5
14:03:19,60.5,100,10747904,87206017,114064203,1671199400,5
14:03:50,60.8,100,11264000,91734443,120090249,1671199431,5
14:04:20,61.0,100,11780096,96224527,126059829,1671199461,5
14:04:50,60.9,100,12292096,100797338,132142462,1671199491,5
14:05:19,54.7,100,12808192,105276492,138070062,1671199520,5
14:06:25,74.2,100,13848576,114251854,149972555,1671199586,6
14:06:59,70.8,100,14487552,120998981,159388927,1671199620,6
14:07:00,79.2,100,14487552,120999135,159388967,1671199621,6
14:07:34,62.5,100,15134720,127036365,167526128,1671199655,6
14:08:04,62.4,100,15773696,133102724,175686613,1671199685,6
14:08:34,62.4,100,16412672,139072627,183692113,1671199715,6
14:09:04,62.9,100,17051648,144966441,191592752,1671199745,6
14:09:34,62.9,100,17690624,150859385,199497827,1671199775,6
14:10:04,62.9,100,18333696,156695576,207342435,1671199805,6
14:10:34,63.0,100,18972672,162511131,215135917,1671199835,6
14:11:04,63.0,100,19611648,168385217,222992074,1671199865,6
14:11:30,50.0,100,20250624,174234729,230791785,1671199891,6
14:12:19,80.7,100,21028864,182833132,242885303,1671199940,7
14:12:55,64.5,100,21798912,190455214,253309334,1671199976,7
14:13:30,65.0,100,22564864,198014527,263530746,1671200011,7
14:14:04,57.4,100,23326720,205465885,273629796,1671200045,7
14:14:05,65.3,100,23326720,205466105,273629954,1671200046,7
14:14:39,65.4,100,24100864,212835996,283572505,1671200080,7
14:15:14,65.6,100,24862720,220220012,293560405,1671200115,7
14:15:49,65.9,100,25632768,227562244,303468282,1671200150,7
14:16:20,65.3,100,26402816,234910996,313378886,1671200181,7
14:16:49,52.5,100,27164672,242061752,322962487,1671200210,7
14:16:50,65.6,100,27164672,242063334,322963834,1671200211,7
14:18:04,85.5,100,28827648,259577279,347192201,1671200285,8
14:18:39,68.1,100,29724672,268645315,359622795,1671200320,8
14:19:14,68.1,100,30613504,277711975,371985997,1671200355,8
14:19:49,67.8,100,31510528,286669968,384193327,1671200390,8
14:20:24,68.1,100,32399360,295503843,396241612,1671200425,8
14:20:59,68.4,100,33292288,304389699,408354341,1671200460,8
14:21:34,68.5,100,34185216,313249522,420393128,1671200495,8
14:22:10,68.8,100,35074048,321963036,432271395,1671200531,8
14:22:45,68.9,100,35975168,330746270,444213016,1671200566,8
14:24:05,87.3,100,37892096,351698726,473293152,1671200646,9
14:24:40,70.3,100,38912000,362286992,487838906,1671200681,9
14:25:14,58.1,100,39927808,372739399,502119072,1671200715,9
14:25:15,71.1,100,39927808,372740981,502120419,1671200716,9
14:25:49,70.1,100,40947712,383150046,516325923,1671200750,9
14:26:24,72.9,100,41963520,393425286,530394189,1671200785,9
14:26:59,72.2,100,42979328,403841258,544591605,1671200820,9
