horario,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
01:28:42,27.6,55.4,20480,23288,22844,1671154123,1
01:29:06,27.8,53.3,94208,535148,670170,1671154147,1
01:29:07,27.8,46.1,94208,540831,674266,1671154148,1
01:29:31,27.8,55.2,167936,1050246,1317023,1671154172,1
01:29:32,27.8,48.6,167936,1053710,1319634,1671154173,1
01:29:56,27.8,49.3,245760,1561057,1960102,1671154197,1
01:30:21,27.8,53.9,319488,2078838,2609088,1671154222,1
01:30:22,27.8,52,319488,2082323,2611713,1671154223,1
01:30:46,27.8,52.9,397312,2592745,3251604,1671154247,1
01:31:11,27.8,52.6,475136,3103628,3893598,1671154272,1
01:31:36,27.8,51.2,548864,3612847,4535706,1671154297,1
01:32:01,31.8,53.1,622592,4119757,5174669,1671154322,1
01:32:26,29.4,51.7,696320,4627869,5817305,1671154347,1
01:33:32,29.4,53.1,794624,5152663,6476419,1671154413,2
01:33:33,29.4,53.8,794624,5152998,6476659,1671154414,2
01:33:56,29.5,52.2,937984,6101168,7682321,1671154437,2
01:34:21,29.6,54.4,1069056,7085632,8938313,1671154462,2
01:34:46,29.6,51.5,1208320,8064254,10191451,1671154487,2
01:35:10,29.6,49.5,1347584,9048644,11446364,1671154511,2
01:35:11,29.6,54.6,1347584,9050209,11447702,1671154512,2
01:35:36,29.6,49,1486848,10038746,12711649,1671154537,2
01:35:37,29.6,53.3,1486848,10040311,12712987,1671154538,2
01:36:01,29.6,55.4,1622016,11024828,13976504,1671154562,2
01:36:02,29.6,57.9,1622016,11026393,13977842,1671154563,2
01:36:26,29.7,54.8,1765376,12000543,15235034,1671154587,2
01:36:27,29.7,54.5,1765376,12002108,15236372,1671154588,2
01:36:51,29.7,51,1896448,12992525,16504558,1671154612,2
01:37:16,29.7,54.9,2035712,13956896,17754099,1671154637,2
01:38:09,29.8,47.8,2191360,14948158,19011613,1671154690,0
01:38:16,29.8,51.4,2199552,14968615,19032686,1671154697,3
01:38:17,29.8,47.8,2199552,14981349,19042115,1671154698,3
01:38:41,30.3,52.6,2457600,17003663,21715720,1671154722,3
01:39:06,32.7,52.2,2727936,19007250,24311753,1671154747,3
01:39:31,30.0,52,2985984,20968768,26839834,1671154772,3
01:39:56,30.0,52.9,3252224,22912970,29347813,1671154797,3
01:40:21,32.7,56.8,3510272,24828103,31837100,1671154822,3
01:40:46,29.8,54.8,3776512,26758095,34323876,1671154847,3
01:41:11,29.9,52.1,4038656,28663031,36798181,1671154872,3
01:41:36,29.5,52.2,4304896,30617998,39333636,1671154897,3
01:42:00,29.5,45.8,4562944,32522487,41812064,1671154921,3
01:42:01,29.5,55.6,4562944,32524061,41813411,1671154922,3
01:42:31,29.7,51.7,4837376,34497350,44347276,1671154952,4
