,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,0,1,4.5,33.3,0,0,0,1671639601,1
1,18,19,4.5,3.5,565248,1148728,882919,1671639619,1
2,92,93,4.7,3.2,2195456,4722878,3589103,1671639694,1
3,94,95,4.7,3.0,2383872,5055442,3831598,1671639696,1
4,221,222,4.8,2.8,5316608,11403061,8659981,1671639823,1
5,170,171,4.8,2.7,4104192,8791091,6674589,1671639772,1
6,115,116,4.7,2.5,2519040,5525316,4222532,1671639717,1
7,144,145,4.7,2.5,3407872,7342362,5591529,1671639746,1
8,244,245,4.8,2.5,5644288,12224385,9311852,1671639846,1
9,247,248,4.8,2.5,5926912,12731562,9690576,1671639849,1
10,14,15,4.5,2.3,188416,480081,390584,1671639615,1
11,15,16,4.5,2.3,282624,648621,506327,1671639616,1
12,41,42,4.6,2.3,987136,2110720,1604102,1671639642,1
13,69,70,4.7,2.3,1777664,3763168,2869129,1671639670,1
14,90,91,4.7,2.3,2007040,4380236,3336932,1671639692,1
15,145,146,4.8,2.3,3493888,7515954,5728576,1671639747,1
16,171,172,4.8,2.3,4198400,8959316,6789096,1671639773,1
17,17,18,4.5,2.0,475136,980584,750792,1671639618,1
18,19,20,4.5,2.0,565248,1164421,896586,1671639620,1
19,39,40,4.6,2.0,794624,1777656,1362022,1671639640,1
20,42,43,4.6,2.0,991232,2134569,1659482,1671639643,1
21,67,68,4.7,2.0,1593344,3430251,2625776,1671639668,1
22,146,147,4.8,2.0,3592192,7680728,5839098,1671639748,1
23,194,195,4.8,2.0,4526080,9777032,7451972,1671639796,1
24,196,197,4.8,2.0,4710400,10114368,7699961,1671639798,1
25,243,244,4.8,2.0,5554176,12057856,9199473,1671639845,1
26,245,246,4.8,2.0,5738496,12391748,9443490,1671639847,1
27,43,44,4.6,1.8,1167360,2448222,1851107,1671639644,1
28,120,121,4.7,1.8,2977792,6365453,4827972,1671639722,1
