,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
566,15,16,5.6,32.0,6127616,4955419,9850366,1671647416,10
567,166,167,5.7,31.9,66355200,54106974,107966304,1671647568,10
568,244,245,5.8,31.9,97697792,82302348,164493462,1671647646,10
569,196,197,5.8,31.7,81862656,69244792,138578580,1671647598,10
570,246,247,5.8,31.6,101208064,85116892,170187441,1671647648,10
571,194,195,5.8,31.5,78315520,66440194,132848128,1671647596,10
572,145,146,5.7,31.4,63823872,51787101,103674482,1671647547,10
573,141,142,5.7,31.3,56676352,46164991,92186440,1671647543,10
574,193,194,5.8,31.3,76455936,65020337,129966869,1671647595,10
575,217,218,5.9,31.2,84525056,71633521,143065616,1671647619,10
576,39,40,5.6,31.1,13852672,11296361,22445814,1671647440,10
577,92,93,5.7,31.0,38920192,31594769,63164114,1671647494,10
578,118,119,5.8,31.0,50307072,40876296,81762183,1671647520,10
579,218,219,5.9,30.8,86310912,73052623,145943969,1671647620,10
580,195,196,5.8,30.7,80048128,67833068,135708968,1671647597,10
581,91,92,5.7,30.5,37134336,30182482,60292897,1671647493,10
582,90,91,5.7,30.4,35360768,28772900,57417870,1671647492,10
583,66,67,5.6,30.3,27320320,22220322,44338441,1671647468,10
584,93,94,5.7,30.3,40693760,32974706,66009153,1671647495,10
585,13,14,5.5,30.2,2179072,1942157,3612049,1671647414,10
586,142,143,5.7,30.0,58445824,47552883,95010952,1671647544,10
587,192,193,5.8,30.0,74719232,63624804,127060843,1671647594,10
588,16,17,5.6,29.3,7897088,6355602,12737913,1671647417,10
589,68,69,5.6,29.2,30920704,25036545,50165641,1671647470,10
590,243,244,5.8,29.0,95883264,80899528,161627840,1671647645,10
591,89,90,5.7,27.5,33583104,27369528,54559237,1671647491,10
592,191,192,5.8,26.4,72945664,62247829,124265686,1671647593,10
593,140,141,5.7,26.2,54894592,44770158,89328338,1671647542,10
594,38,39,5.6,25.7,12185600,10016038,19840642,1671647439,10
595,222,223,5.8,25.4,92913664,78233567,156573910,1671647624,10
596,171,172,5.8,24.4,71503872,60772052,121669886,1671647573,10
597,242,243,5.7,23.5,94146560,79511264,158775685,1671647644,10
598,120,121,5.7,23.2,53448704,43286963,86734430,1671647522,10
599,69,70,5.6,18.9,32047104,25877832,51895898,1671647471,10
600,194,195,5.9,40.1,23269376,71556222,142429824,1671645795,11
