,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,21,22,16.2,3.0,581632,618275,828190,1671212422,1
1,39,40,16.3,3.0,684032,901246,1128984,1671212440,1
2,80,81,16.5,3.0,1773568,2061253,2679012,1671212481,1
3,95,96,16.6,3.0,2306048,2580515,3403444,1671212496,1
4,123,124,16.7,3.0,2924544,3306533,4349428,1671212524,1
5,144,145,16.7,3.0,3297280,3795548,4964963,1671212545,1
6,219,220,16.9,3.0,4886528,5686134,7411656,1671212620,1
7,223,224,16.9,3.0,5238784,5954880,7823577,1671212624,1
8,142,143,16.7,2.6,3133440,3660175,4757655,1671212543,1
9,40,41,16.3,2.5,786432,968242,1233323,1671212441,1
10,43,44,16.4,2.5,1040384,1168818,1538484,1671212444,1
11,58,59,16.4,2.5,1175552,1428027,1834459,1671212459,1
12,67,68,16.5,2.5,1445888,1711652,2218118,1671212468,1
13,72,73,16.5,2.5,1757184,1968233,2592536,1671212473,1
14,119,120,16.7,2.5,2711552,3125517,4087033,1671212520,1
15,131,132,16.7,2.5,2932736,3406243,4442072,1671212532,1
16,137,138,16.7,2.5,2940928,3482623,4510998,1671212538,1
17,171,172,16.8,2.5,3985408,4536923,5950608,1671212572,1
18,193,194,16.8,2.5,4300800,5004739,6521263,1671212594,1
19,221,222,16.9,2.5,5058560,5816172,7613675,1671212622,1
20,222,223,16.9,2.5,5144576,5888356,7720133,1671212623,1
21,246,247,16.9,2.5,5566464,6422650,8396417,1671212647,1
22,14,15,16.2,2.0,98304,233863,254918,1671212415,1
23,15,16,16.2,2.0,188416,303542,358214,1671212416,1
24,18,19,16.2,2.0,454656,500128,663157,1671212419,1
25,19,20,16.2,2.0,544768,568721,765895,1671212420,1
26,63,64,16.4,2.0,1179648,1485498,1884925,1671212464,1
27,68,69,16.5,2.0,1544192,1780743,2323375,1671212469,1
28,69,70,16.5,2.0,1630208,1847558,2425146,1671212470,1
29,83,84,16.5,2.0,1777664,2104612,2716987,1671212484,1
30,103,104,16.6,2.0,2351104,2709277,3538760,1671212504,1
31,115,116,16.6,2.0,2363392,2864365,3679992,1671212516,1
32,120,121,16.7,2.0,2797568,3190258,4187058,1671212521,1
33,141,142,16.7,2.0,2945024,3541558,4567792,1671212542,1
34,146,147,16.8,2.0,3477504,3926677,5166469,1671212547,1
35,172,173,16.8,2.0,4071424,4602141,6052041,1671212573,1
36,191,192,16.8,2.0,4128768,4864495,6307519,1671212592,1
37,194,195,16.8,2.0,4300800,5017289,6532028,1671212595,1
38,195,196,16.8,2.0,4481024,5141028,6727163,1671212596,1
39,211,212,16.9,2.0,4706304,5469785,7127978,1671212612,1
40,218,219,16.9,2.0,4800512,5619291,7308295,1671212619,1
41,231,232,16.9,2.0,5283840,6075639,7952290,1671212632,1
42,239,240,16.9,2.0,5292032,6168703,8037194,1671212640,1
43,243,244,16.9,2.0,5296128,6225929,8091982,1671212644,1
44,245,246,16.9,2.0,5480448,6352986,8292591,1671212646,1
45,247,248,16.9,2.0,5648384,6490047,8499918,1671212648,1
46,252,253,16.9,2.0,5869568,6692170,8786859,1671212653,1
47,291,292,16.9,2.0,5910528,7128461,9187965,1671212692,1
48,2,3,16.2,1.5,4096,19163,16653,1671212403,1
49,7,8,16.2,1.5,8192,84633,73757,1671212408,1
50,13,14,16.2,1.5,12288,168914,155342,1671212414,1
51,16,17,16.2,1.5,286720,373740,465367,1671212417,1
52,42,43,16.4,1.5,950272,1098854,1434758,1671212443,1
53,44,45,16.4,1.5,1126400,1236393,1642397,1671212445,1
54,48,49,16.4,1.5,1163264,1311284,1729269,1671212449,1
55,59,60,16.4,1.5,1175552,1440684,1844776,1671212460,1
56,62,63,16.4,1.5,1179648,1472836,1874642,1671212463,1
57,66,67,16.4,1.5,1363968,1642475,2112953,1671212467,1
58,70,71,16.5,1.5,1720320,1914932,2526132,1671212471,1
59,85,86,16.5,1.5,1777664,2123165,2733719,1671212486,1
60,17,18,16.9,4.5,974848,812800,1209314,1671213018,2
61,91,92,17.1,4.5,3850240,3514065,5020633,1671213092,2
