,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,0,1,27.5,100.0,0,0,0,1670766601,1
1,226,227,30.6,100.0,5083136,10456372,7767071,1670766828,1
2,225,226,29.9,53.5,5083136,10439222,7749708,1670766827,1
3,227,228,30.8,43.0,5083136,10467465,7776645,1670766829,1
4,268,269,32.1,40.2,5648384,11792527,8792324,1670766870,1
5,269,270,31.6,26.5,5668864,11830423,8811506,1670766871,1
6,39,40,27.8,6.2,737280,1600755,1211335,1670766641,1
7,43,44,28.0,6.1,1085440,2207596,1638071,1670766645,1
8,90,91,28.3,6.0,1867776,3923839,2935009,1670766692,1
9,118,119,28.5,5.9,2600960,5403813,4040191,1670766720,1
10,195,196,28.8,5.9,4300800,8896944,6648979,1670766797,1
11,41,42,28.0,5.1,913408,1899453,1421454,1670766643,1
12,68,69,28.3,5.1,1564672,3225660,2425135,1670766670,1
13,142,143,28.5,5.1,3002368,6272582,4717148,1670766744,1
14,143,144,28.6,5.1,3084288,6423925,4813316,1670766745,1
15,166,167,28.6,5.1,3465216,7269217,5436749,1670766768,1
16,172,173,28.8,5.1,3923968,8039770,5982593,1670766774,1
17,218,219,28.9,5.1,4689920,9750720,7280397,1670766820,1
18,93,94,28.5,5.0,2129920,4380010,3258291,1670766695,1
19,144,145,28.6,5.0,3170304,6573575,4924976,1670766746,1
20,150,151,28.6,5.0,3379200,6974137,5183517,1670766752,1
21,182,183,28.8,5.0,3960832,8184474,6091545,1670766784,1
22,244,245,30.8,5.0,5263360,10905992,8136298,1670766846,1
23,192,193,28.9,4.1,4042752,8435468,6319717,1670766794,1
24,220,221,28.9,4.1,4866048,10052988,7490553,1670766822,1
25,2,3,27.5,4.0,0,12628,12393,1670766603,1
26,13,14,27.5,4.0,90112,274869,252109,1670766614,1
27,15,16,27.5,4.0,262144,586875,472430,1670766617,1
28,37,38,27.4,4.0,557056,1282175,979991,1670766639,1
29,42,43,28.0,4.0,958464,2001187,1484921,1670766644,1
30,65,66,28.1,4.0,1302528,2754256,2086690,1670766667,1
31,74,75,28.4,4.0,1691648,3484741,2592423,1670766676,1
32,89,90,28.3,4.0,1785856,3768665,2833806,1670766691,1
33,92,93,28.4,4.0,2039808,4228806,3145933,1670766694,1
34,98,99,28.4,4.0,2252800,4645783,3452694,1670766700,1
35,119,120,28.5,4.0,2691072,5558026,4155430,1670766721,1
36,167,168,28.6,4.0,3555328,7423026,5542196,1670766769,1
37,168,169,28.6,4.0,3661824,7573343,5647747,1670766770,1
38,169,170,28.6,4.0,3743744,7723341,5758768,1670766771,1
39,170,171,28.6,4.0,3829760,7879531,5860530,1670766772,1
40,217,218,28.9,4.0,4608000,9592587,7160265,1670766819,1
41,242,243,30.8,4.0,5087232,10604860,7929653,1670766844,1
42,246,247,30.8,4.0,5431296,11221296,8358000,1670766848,1
43,248,249,30.7,4.0,5603328,11524206,8566018,1670766850,1
44,250,251,30.7,4.0,5644288,11602433,8609125,1670766852,1
45,271,272,31.6,4.0,5668864,11850065,8831458,1670766873,1
46,14,15,27.5,3.1,176128,429041,352189,1670766615,1
47,17,18,27.5,3.1,434176,888140,682625,1670766619,1
48,18,19,27.4,3.1,520192,1044467,784705,1670766620,1
49,64,65,28.1,3.1,1212416,2605499,1993075,1670766666,1
50,67,68,28.2,3.1,1478656,3073426,2311202,1670766669,1
51,94,95,28.4,3.1,2215936,4534068,3358784,1670766696,1
52,115,116,28.5,3.1,2342912,4946464,3730494,1670766717,1
53,117,118,28.5,3.1,2514944,5248585,3939523,1670766719,1
