,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,0,1,4.5,33.3,0,0,0,1672927201,1
1,335,336,4.9,3.3,22847488,18996516,18066992,1672927537,1
2,152,153,4.8,3.2,11186176,9207049,8753950,1672927353,1
3,351,352,4.9,3.2,24334336,20185645,19197006,1672927553,1
4,583,584,5.0,3.0,40632320,33683470,32007970,1672927785,1
5,285,286,5.0,3.0,19927040,16523343,15713747,1672927487,1
6,345,346,4.9,2.8,23773184,19744144,18778886,1672927547,1
7,372,373,4.9,2.8,26271744,21731701,20673226,1672927574,1
8,412,413,4.9,2.8,28270592,23495826,22338010,1672927614,1
9,273,274,5.0,2.7,18821120,15638998,14864325,1672927475,1
10,343,344,4.9,2.7,23588864,19586073,18626773,1672927545,1
11,292,293,5.0,2.5,20578304,17038740,16208033,1672927494,1
12,116,117,4.8,2.5,7843840,6549230,6222535,1672927317,1
13,290,291,5.0,2.5,20389888,16893285,16066434,1672927492,1
14,444,445,4.9,2.5,31244288,25868399,24596236,1672927646,1
15,341,342,4.9,2.5,23400448,19444234,18491984,1672927543,1
16,436,437,4.9,2.5,30502912,25266557,24023004,1672927638,1
17,432,433,4.9,2.5,30134272,24966592,23737028,1672927634,1
18,288,289,5.0,2.5,20205568,16746084,15927520,1672927490,1
19,132,133,4.8,2.5,9338880,7722131,7338221,1672927333,1
20,25,26,4.6,2.5,1105920,1043292,986572,1672927226,1
21,531,532,5.0,2.5,37523456,31054770,29518566,1672927733,1
22,41,42,4.6,2.5,2600960,2212924,2105707,1672927242,1
23,360,361,4.9,2.5,25169920,20848892,19830042,1672927562,1
24,276,277,5.0,2.5,19091456,15858208,15075840,1672927478,1
25,378,379,4.9,2.5,26836992,22192171,21108128,1672927580,1
26,104,105,4.7,2.5,6737920,5661894,5377871,1672927305,1
27,544,545,5.0,2.5,38727680,32006230,30424260,1672927746,1
28,430,431,4.9,2.3,29949952,24820250,23595621,1672927632,1
29,390,391,4.9,2.3,27951104,23075795,21948976,1672927592,1
