,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,0,1,4.4,33.3,0,0,0,1672927201,1
1,255,256,4.8,2.5,16207872,21063870,20263438,1672927457,1
2,34,35,4.5,2.5,1925120,2561364,2458952,1672927235,1
3,32,33,4.5,2.3,1748992,2338434,2243828,1672927233,1
4,174,175,4.7,2.3,10756096,14039123,13530479,1672927376,1
5,56,57,4.5,2.3,3850240,4966416,4779905,1672927257,1
6,50,51,4.5,2.3,3325952,4312643,4150930,1672927251,1
7,257,258,4.8,2.3,16384000,21290434,20483285,1672927459,1
8,60,61,4.5,2.2,4202496,5403838,5198526,1672927261,1
9,305,306,4.9,2.2,-43446272,26532887,25496772,1672927507,1
10,122,123,4.6,2.2,7905280,10272385,9895081,1672927324,1
11,291,292,4.9,2.2,19353600,25006913,24037096,1672927493,1
12,259,260,4.8,2.0,16551936,21505504,20688929,1672927461,1
13,22,23,4.4,2.0,868352,1249264,1198651,1672927223,1
14,197,198,4.7,2.0,12771328,16561151,15952117,1672927399,1
15,430,431,4.8,2.0,28172288,36477210,35100254,1672927632,1
16,263,264,4.9,2.0,16912384,21944912,21108049,1672927465,1
17,28,29,4.4,2.0,1404928,1904938,1823775,1672927229,1
18,54,55,4.5,2.0,3674112,4749658,4571933,1672927255,1
19,226,227,4.8,2.0,15298560,19720306,19012298,1672927428,1
20,72,73,4.5,2.0,5246976,6711877,6456419,1672927273,1
21,510,511,4.8,2.0,33456128,43326462,41737777,1672927712,1
22,220,221,4.8,2.0,14774272,19058869,18371348,1672927422,1
23,40,41,4.5,2.0,2445312,3211900,3084714,1672927241,1
24,285,286,4.9,2.0,18821120,24344794,23402199,1672927487,1
25,366,367,4.7,2.0,24199168,31298661,30100877,1672927568,1
26,289,290,4.9,2.0,19177472,24789563,23828298,1672927491,1
27,523,524,4.8,1.8,34594816,44740471,43095148,1672927725,1
28,309,310,4.9,1.8,-43102208,26968923,25916249,1672927511,1
29,363,364,4.7,1.8,23937024,30970456,29774230,1672927565,1
30,42,43,4.5,1.8,2633728,3431552,3299510,1672927243,1
31,64,65,4.5,1.8,4546560,5839848,5619102,1672927265,1
32,48,49,4.5,1.8,3153920,4093264,3937701,1672927249,1
33,297,298,4.9,1.8,19881984,25665187,24666458,1672927499,1
34,578,579,4.9,1.8,37773312,48946393,47175372,1672927780,1
35,30,31,4.5,1.8,1576960,2125371,2038297,1672927231,1
36,261,262,4.9,1.8,16728064,21727446,20900848,1672927463,1
37,339,340,4.7,1.8,21839872,28333254,27236392,1672927541,1
38,24,25,4.4,1.8,1044480,1465106,1403983,1672927225,1
39,20,21,4.4,1.8,700416,1026515,981000,1672927221,1
40,18,19,4.4,1.8,516096,812032,774950,1672927219,1
41,16,17,4.4,1.8,348160,576887,549124,1672927217,1
42,293,294,4.9,1.8,19525632,25225103,24246095,1672927495,1
43,390,391,4.8,1.7,26288128,33927279,32632002,1672927592,1
44,111,112,4.6,1.7,6942720,9073890,8747832,1672927313,1
45,391,392,4.8,1.7,26374144,34036031,32727942,1672927593,1
46,173,174,4.7,1.7,10665984,13926145,13413375,1672927375,1
47,154,155,4.7,1.7,10567680,13606697,13091468,1672927356,1
48,536,537,4.9,1.7,35725312,46172598,44483529,1672927738,1
49,176,177,4.7,1.7,10919936,14256688,13740053,1672927378,1
50,223,224,4.8,1.7,15032320,19386767,18693638,1672927425,1
51,437,438,4.8,1.7,28778496,37262304,35867291,1672927639,1
52,378,379,4.7,1.7,25243648,32621195,31369433,1672927580,1
53,93,94,4.5,1.5,5373952,7095204,6837836,1672927295,1
54,277,278,4.9,1.5,18128896,23474906,22568909,1672927479,1
55,281,282,4.9,1.5,18481152,23910750,22987506,1672927483,1
56,101,102,4.5,1.5,6074368,7970476,7680934,1672927303,1
57,529,530,4.9,1.5,35110912,45408514,43740255,1672927731,1
58,95,96,4.5,1.5,5554176,7314157,7050832,1672927297,1
59,386,387,4.8,1.5,25944064,33492633,32211864,1672927588,1
60,381,382,4.7,1.5,25505792,32947466,31676389,1672927583,1
61,210,211,4.8,1.5,13901824,17974712,17326195,1672927412,1
62,269,270,4.9,1.5,17432576,22603146,21736831,1672927471,1
63,126,127,4.6,1.5,8253440,10705912,10315278,1672927328,1
64,442,443,4.8,1.5,29212672,37806153,36385542,1672927644,1
65,150,151,4.7,1.5,10350592,13326078,12838678,1672927352,1
66,149,150,4.7,1.5,10264576,13214779,12739118,1672927351,1
67,440,441,4.8,1.5,29040640,37584848,36169785,1672927642,1
68,231,232,4.8,1.5,15732736,20357117,19554988,1672927433,1
69,452,453,4.8,1.5,30081024,38897730,37434420,1672927654,1
70,512,513,4.8,1.5,33628160,43542355,41944442,1672927714,1
71,461,462,4.8,1.5,30871552,39883346,38393168,1672927663,1
72,413,414,4.8,1.5,26677248,34629022,33281401,1672927615,1
73,190,191,4.7,1.5,12148736,15784173,15208820,1672927392,1
74,457,458,4.8,1.5,30523392,39447973,37976317,1672927659,1
75,468,469,4.8,1.5,31481856,40648779,39121393,1672927670,1
76,185,186,4.7,1.5,11718656,15234200,14670013,1672927387,1
77,114,115,4.6,1.5,7196672,9401163,9054213,1672927316,1
78,121,122,4.6,1.5,7823360,10161103,9796542,1672927323,1
79,526,527,4.9,1.5,34852864,45080354,43432981,1672927728,1
