,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,0,1,16.6,50.0,0,0,0,1672840801,1
1,448,449,19.5,42.3,33828864,47336569,59332544,1672841250,1
2,32,33,17.3,16.2,1994752,2944311,3550925,1672840834,1
3,447,448,18.4,12.1,33677312,47180789,58336516,1672841249,1
4,33,34,17.3,8.5,2187264,3152901,3829266,1672840835,1
5,25,26,16.7,7.6,1388544,2079730,2481498,1672840827,1
6,428,429,18.2,7.6,31793152,44661218,55159958,1672841230,1
7,118,119,17.5,7.5,8663040,12229601,15060276,1672840920,1
8,225,226,17.6,7.5,17317888,24261127,30019600,1672841027,1
9,389,390,18.1,7.5,29769728,41669970,51563718,1672841191,1
10,69,70,17.5,7.5,5734400,7975655,9887132,1672840871,1
11,296,297,17.9,7.5,22499328,31479780,38957319,1672841098,1
12,41,42,17.3,7.1,2977792,4218750,5171623,1672840843,1
13,104,105,17.7,7.1,7278592,10353880,12706778,1672840906,1
14,43,44,17.3,7.1,3166208,4482581,5505105,1672840845,1
15,61,62,17.4,7.1,4952064,6908193,8542926,1672840863,1
16,290,291,17.8,7.0,21897216,30683208,37954577,1672841092,1
17,39,40,17.3,7.0,2772992,3948874,4833481,1672840841,1
18,37,38,17.3,7.0,2576384,3685110,4500709,1672840839,1
19,49,50,17.4,7.0,3760128,5290265,6517518,1672840851,1
20,27,28,16.8,7.0,1593344,2342798,2811716,1672840829,1
21,53,54,17.4,7.0,4161536,5823899,7188984,1672840855,1
22,333,334,17.9,7.0,24236032,34152838,42129243,1672841135,1
23,417,418,18.1,7.0,30699520,43167062,53290072,1672841219,1
24,13,14,16.6,7.0,114688,420771,367087,1672840815,1
25,597,598,19.7,6.9,44830720,62820913,78444610,1672841400,1
26,178,179,17.5,6.9,12668928,17927682,22067482,1672840980,1
27,57,58,17.4,6.6,4550656,6358402,7857107,1672840859,1
28,51,52,17.4,6.6,3960832,5553808,6850924,1672840853,1
29,59,60,17.4,6.6,4755456,6627439,8194734,1672840861,1
30,65,66,17.5,6.6,5337088,7442768,9216088,1672840867,1
31,45,46,17.3,6.6,3371008,4757804,5848674,1672840847,1
32,357,358,18.0,6.6,26611712,37363172,46170220,1672841159,1
33,21,22,16.5,6.6,983040,1548002,1811212,1672840823,1
34,286,287,17.8,6.6,21495808,30145519,37281156,1672841088,1
35,55,56,17.4,6.6,4358144,6088469,7522377,1672840857,1
36,545,546,19.6,6.5,41521152,58092804,72659849,1672841348,1
37,420,421,18.2,6.5,31002624,43592317,53816597,1672841222,1
38,298,299,17.9,6.5,22687744,31748969,39297047,1672841100,1
39,15,16,16.6,6.2,397312,741391,800184,1672840817,1
40,173,174,17.5,6.2,12181504,17274441,21244460,1672840975,1
41,17,18,16.6,6.2,589824,1009275,1137511,1672840819,1
42,353,354,18.0,6.1,26214400,36827280,45495405,1672841155,1
43,254,255,17.7,6.1,18345984,25871900,31896110,1672841056,1
44,256,257,17.7,6.1,18542592,26134089,32229931,1672841058,1
45,227,228,17.7,6.1,17518592,24522866,30347508,1672841029,1
46,197,198,17.5,6.1,14548992,20497056,25292442,1672840999,1
47,266,267,17.7,6.1,19529728,27466851,33909451,1672841068,1
48,63,64,17.5,6.1,5144576,7171954,8877033,1672840865,1
49,584,585,19.6,6.1,43540480,61093196,76264734,1672841387,1
50,268,269,17.8,6.1,19726336,27729775,34242881,1672841070,1
51,294,295,17.9,6.1,22294528,31217156,38626595,1672841096,1
52,276,277,17.8,6.1,20512768,28810039,35598057,1672841078,1
53,335,336,17.9,6.1,24444928,34416147,42459017,1672841137,1
54,598,599,19.7,6.1,44929024,62973377,78634419,1672841401,1
55,47,48,17.4,6.1,3567616,5019729,6180156,1672840849,1
56,221,222,17.6,6.0,16916480,23726627,29345275,1672841023,1
57,282,283,17.8,6.0,21106688,29611739,36608148,1672841084,1
58,461,462,19.4,6.0,35119104,49089622,61533687,1672841263,1
59,137,138,17.5,6.0,10534912,14767462,18258942,1672840939,1
60,570,571,19.6,6.0,42156032,59204157,73900122,1672841373,1
61,517,518,19.5,6.0,38739968,54326186,67935198,1672841319,1
62,270,271,17.8,6.0,19931136,28012781,34593783,1672841072,1
63,510,511,19.4,6.0,38039552,53369066,66740718,1672841312,1
64,590,591,19.7,6.0,44130304,61893847,77275031,1672841393,1
65,523,524,19.5,6.0,39333888,55126546,68937068,1672841325,1
66,272,273,17.8,6.0,20123648,28278711,34926483,1672841074,1
67,193,194,17.5,6.0,14155776,19962962,24617707,1672840995,1
68,29,30,16.8,5.7,1789952,2615104,3152074,1672840831,1
69,31,32,16.9,5.7,1986560,2884635,3492655,1672840833,1
70,189,190,17.5,5.6,13758464,19429582,23946467,1672840991,1
71,572,573,19.6,5.6,42356736,59476888,74241012,1672841375,1
72,501,502,19.4,5.6,37158912,52169002,65228426,1672841303,1
