,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,166,167,16.6,8.0,3862528,10851475,6704957,1671212568,1
1,217,218,16.8,7.5,5120000,14329024,8846385,1671212619,1
2,119,120,16.4,6.9,2994176,8267373,5087111,1671212521,1
3,39,40,16.0,6.6,831488,2409652,1484250,1671212440,1
4,144,145,16.5,6.6,3530752,9795576,6068406,1671212546,1
5,64,65,16.1,6.5,1355776,3925351,2451792,1671212465,1
6,66,67,16.1,6.5,1548288,4368554,2715796,1671212467,1
7,245,246,17.0,6.5,5951488,16519277,10201660,1671212647,1
8,90,91,16.3,6.2,2076672,5863611,3614337,1671212491,1
9,15,16,15.8,6.1,307200,916990,591279,1671212416,1
10,14,15,15.8,6.0,200704,687807,443031,1671212415,1
11,194,195,16.7,6.0,4689920,13049280,8072603,1671212596,1
12,38,39,16.0,5.6,634880,1993983,1282016,1671212439,1
13,43,44,16.1,5.6,1208320,3294004,2010354,1671212444,1
14,92,93,16.3,5.6,2269184,6303186,3873324,1671212493,1
15,117,118,16.4,5.6,2801664,7824258,4822008,1671212519,1
16,170,171,16.6,5.6,4263936,11739547,7232404,1671212572,1
17,243,244,16.9,5.6,5746688,16077400,9941502,1671212645,1
18,41,42,16.0,5.1,1015808,2846617,1742176,1671212442,1
19,118,119,16.4,5.1,2904064,8052690,4970280,1671212520,1
20,143,144,16.5,5.1,3436544,9574276,5928742,1671212545,1
21,145,146,16.6,5.1,3633152,10013918,6186019,1671212547,1
22,193,194,16.7,5.1,4603904,12829934,7950176,1671212595,1
23,221,222,16.8,5.1,5500928,15215995,9372756,1671212623,1
24,247,248,17.0,5.1,6139904,16968151,10468895,1671212649,1
25,68,69,16.1,4.6,1753088,4816291,2984011,1671212469,1
26,94,95,16.3,4.6,2465792,6749657,4139533,1671212495,1
27,120,121,16.4,4.6,3092480,8491535,5231015,1671212522,1
28,142,143,16.5,4.6,3346432,9356454,5810631,1671212544,1
29,146,147,16.6,4.6,3723264,10232820,6309171,1671212548,1
30,167,168,16.6,4.6,3969024,11067109,6822627,1671212569,1
31,195,196,16.7,4.6,4796416,13277751,8217880,1671212597,1
32,218,219,16.8,4.6,5214208,14549739,8969000,1671212620,1
33,222,223,16.8,4.6,5599232,15437559,9496049,1671212624,1
34,67,68,16.1,4.5,1654784,4591050,2838640,1671212468,1
35,69,70,16.1,4.5,1843200,5031779,3102582,1671212470,1
36,16,17,15.8,4.1,401408,1130300,705625,1671212417,1
37,17,18,15.8,4.1,495616,1353064,846548,1671212418,1
38,18,19,15.9,4.1,589824,1570718,966365,1671212419,1
