,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,94,95,4.8,2.5,2240512,3573666,3332445,1671639696,1
1,91,92,4.7,1.8,1929216,3153552,2979332,1671639693,1
2,166,167,4.8,1.8,3502080,5830350,5441376,1671639768,1
3,67,68,4.8,1.7,1503232,2434972,2268457,1671639669,1
4,248,249,4.8,1.7,5648384,9175522,8560864,1671639850,1
5,39,40,4.7,1.5,741376,1276151,1187023,1671639641,1
6,43,44,4.7,1.5,1097728,1711744,1596980,1671639645,1
7,66,67,4.7,1.5,1413120,2320096,2160184,1671639668,1
8,119,120,4.8,1.5,2711552,4403806,4108634,1671639721,1
9,169,170,4.8,1.5,3764224,6160390,5749010,1671639771,1
10,171,172,4.8,1.5,3944448,6387191,5962033,1671639773,1
11,195,196,4.8,1.5,4337664,7097318,6623617,1671639797,1
12,41,42,4.7,1.3,929792,1489715,1388802,1671639643,1
13,120,121,4.8,1.3,2797568,4511118,4210875,1671639722,1
14,143,144,4.8,1.3,3108864,5119596,4778413,1671639745,1
15,223,224,4.8,1.3,5074944,8260814,7708286,1671639825,1
16,252,253,4.8,1.2,5689344,9264132,8642563,1671639854,1
17,3,4,4.6,1.0,0,27791,25904,1671639604,1
18,8,9,4.6,1.0,4096,86468,76827,1671639609,1
19,15,16,4.6,1.0,266240,469079,436138,1671639616,1
20,18,19,4.7,1.0,528384,791915,737287,1671639619,1
21,23,24,4.7,1.0,565248,897339,835883,1671639625,1
22,65,66,4.7,1.0,1318912,2207225,2053896,1671639667,1
23,71,72,4.8,1.0,1703936,2715461,2530078,1671639673,1
24,75,76,4.8,1.0,1708032,2768164,2579170,1671639677,1
25,89,90,4.7,1.0,1716224,2930892,2769546,1671639691,1
26,92,93,4.8,1.0,2060288,3359828,3131126,1671639694,1
27,170,171,4.8,1.0,3854336,6273845,5856640,1671639772,1
28,183,184,4.8,1.0,3993600,6552458,6113921,1671639785,1
29,193,194,4.8,1.0,4161536,6875526,6414003,1671639795,1
30,199,200,4.8,1.0,4550656,7381091,6888576,1671639801,1
31,203,204,4.8,1.0,4550656,7433757,6938655,1671639805,1
32,222,223,4.8,1.0,5074944,8241666,7690341,1671639824,1
33,243,244,4.8,1.0,5210112,8624866,8043612,1671639845,1
34,7,8,4.6,0.8,4096,76700,68849,1671639608,1
35,13,14,4.6,0.8,94208,241994,223444,1671639614,1
36,14,15,4.6,0.8,180224,352534,327840,1671639615,1
