,Unnamed: 0,indice,memoria(%),cpu(%),Block-use(bytes),Net-in(bytes),Net-out(bytes),TimeStamp,round
0,13,14,17.0,21.6,8192,193560,167379,1671212414,1
1,14,15,17.0,18.2,196608,259188,387582,1671212415,1
2,18,19,16.9,7.9,573440,388864,842765,1671212419,1
3,16,17,16.9,6.5,393216,330651,621235,1671212417,1
4,246,247,16.9,6.1,5795840,3874810,8667279,1671212647,1
5,65,66,16.9,5.6,1409024,1049099,2176625,1671212466,1
6,43,44,16.9,5.5,1097728,778593,1647329,1671212444,1
7,116,117,16.9,5.4,2564096,1846126,3968960,1671212517,1
8,171,172,16.9,5.4,4100096,2748928,6117025,1671212572,1
9,69,70,16.9,5.1,1781760,1182434,2634771,1671212470,1
10,118,119,16.9,5.0,2793472,1907004,4198290,1671212519,1
11,244,245,16.9,5.0,5615616,3811087,8438150,1671212645,1
12,168,169,16.9,4.5,3809280,2651886,5776442,1671212569,1
13,192,193,16.9,4.5,4321280,3002190,6546591,1671212593,1
14,219,220,16.9,4.5,5013504,3443138,7569466,1671212620,1
15,67,68,16.9,4.1,1601536,1117114,2406940,1671212468,1
16,194,195,16.9,4.1,4501504,3064807,6773470,1671212595,1
17,15,16,16.9,4.0,204800,290021,415956,1671212416,1
18,41,42,16.9,4.0,905216,706527,1413306,1671212442,1
19,145,146,16.9,4.0,3489792,2334769,5206866,1671212546,1
20,146,147,16.9,4.0,3579904,2367550,5322367,1671212547,1
21,221,222,16.8,4.0,5193728,3502400,7791499,1671212622,1
22,222,223,16.9,4.0,5287936,3534571,7905362,1671212623,1
23,223,224,16.9,4.0,5382144,3563134,8014610,1671212624,1
24,39,40,16.9,3.6,716800,646961,1190673,1671212440,1
25,90,91,16.9,3.6,1921024,1436108,2979645,1671212491,1
26,120,121,16.9,3.6,2973696,1971231,4424243,1671212521,1
27,169,170,16.9,3.6,3911680,2677952,5883701,1671212570,1
28,248,249,16.8,3.6,5980160,3943024,8897819,1671212649,1
29,40,41,16.9,3.5,815104,675042,1300133,1671212441,1
30,64,65,16.9,3.5,1224704,1009892,1973031,1671212465,1
31,92,93,16.9,3.5,2105344,1500043,3205028,1671212493,1
32,93,94,16.9,3.5,2199552,1523035,3310887,1671212494,1
33,94,95,16.9,3.5,2285568,1560260,3429595,1671212495,1
34,119,120,16.9,3.5,2801664,1930570,4219418,1671212520,1
35,142,143,16.9,3.5,3211264,2241732,4868869,1671212543,1
36,144,145,16.9,3.5,3387392,2301832,5091694,1671212545,1
37,167,168,16.9,3.5,3715072,2619799,5663203,1671212568,1
38,195,196,16.9,3.5,4599808,3093538,6882826,1671212596,1
39,245,246,16.9,3.5,5619712,3830472,8455640,1671212646,1
40,141,142,16.9,3.1,3108864,2209289,4753687,1671212542,1
41,170,171,16.9,3.1,4005888,2715505,6005775,1671212571,1
42,27,28,16.9,3.0,618496,484951,961645,1671212428,1
43,42,43,16.9,3.0,995328,740214,1529008,1671212443,1
44,197,198,16.9,3.0,4780032,3151844,7104391,1671212598,1
45,91,92,16.9,2.6,2007040,1466883,3091253,1671212492,1
46,143,144,16.9,2.6,3301376,2277500,4984883,1671212544,1
47,196,197,16.9,2.6,4689920,3127838,6998046,1671212597,1
48,44,45,16.9,2.5,1183744,803725,1754330,1671212445,1
49,46,47,16.9,2.5,1216512,821648,1806047,1671212447,1
50,95,96,16.9,2.5,2383872,1591530,3541820,1671212496,1
